date,store_id,product_id,units_sold,temperature,rain,is_holiday,day_of_week,month
2024-01-01,store_1,product_1,45,31.5,0.0,0.0,0,1
2024-01-01,store_1,product_2,19,31.5,0.0,0.0,0,1
2024-01-01,store_1,product_3,28,31.5,0.0,0.0,0,1
2024-01-01,store_1,product_4,18,31.5,0.0,0.0,0,1
2024-01-01,store_1,product_5,21,31.5,0.0,0.0,0,1
2024-01-01,store_1,product_6,38,31.5,0.0,0.0,0,1
2024-01-01,store_2,product_1,9,31.5,0.0,0.0,0,1
2024-01-01,store_2,product_2,32,31.5,0.0,0.0,0,1
2024-01-01,store_2,product_3,43,31.5,0.0,0.0,0,1
2024-01-01,store_2,product_4,24,31.5,0.0,0.0,0,1
2024-01-01,store_2,product_5,30,31.5,0.0,0.0,0,1
2024-01-01,store_2,product_6,38,31.5,0.0,0.0,0,1
2024-01-01,store_3,product_1,23,31.5,0.0,0.0,0,1
2024-01-01,store_3,product_2,3,31.5,0.0,0.0,0,1
2024-01-01,store_3,product_3,40,31.5,0.0,0.0,0,1
2024-01-01,store_3,product_4,49,31.5,0.0,0.0,0,1
2024-01-01,store_3,product_5,23,31.5,0.0,0.0,0,1
2024-01-01,store_3,product_6,15,31.5,0.0,0.0,0,1
2024-01-01,store_4,product_1,32,31.5,0.0,0.0,0,1
2024-01-01,store_4,product_2,11,31.5,0.0,0.0,0,1
2024-01-01,store_4,product_3,12,31.5,0.0,0.0,0,1
2024-01-01,store_4,product_4,50,31.5,0.0,0.0,0,1
2024-01-01,store_4,product_5,14,31.5,0.0,0.0,0,1
2024-01-01,store_4,product_6,3,31.5,0.0,0.0,0,1
2024-01-01,store_5,product_1,12,31.5,0.0,0.0,0,1
2024-01-01,store_5,product_2,17,31.5,0.0,0.0,0,1
2024-01-01,store_5,product_3,17,31.5,0.0,0.0,0,1
2024-01-01,store_5,product_4,19,31.5,0.0,0.0,0,1
2024-01-01,store_5,product_5,26,31.5,0.0,0.0,0,1
2024-01-01,store_5,product_6,33,31.5,0.0,0.0,0,1
2024-01-02,store_1,product_1,14,19.0,0.0,0.0,1,1
2024-01-02,store_1,product_2,10,19.0,0.0,0.0,1,1
2024-01-02,store_1,product_3,37,19.0,0.0,0.0,1,1
2024-01-02,store_1,product_4,17,19.0,0.0,0.0,1,1
2024-01-02,store_1,product_5,51,19.0,0.0,0.0,1,1
2024-01-02,store_1,product_6,19,19.0,0.0,0.0,1,1
2024-01-02,store_2,product_1,12,19.0,0.0,0.0,1,1
2024-01-02,store_2,product_2,31,19.0,0.0,0.0,1,1
2024-01-02,store_2,product_3,37,19.0,0.0,0.0,1,1
2024-01-02,store_2,product_4,39,19.0,0.0,0.0,1,1
2024-01-02,store_2,product_5,25,19.0,0.0,0.0,1,1
2024-01-02,store_2,product_6,28,19.0,0.0,0.0,1,1
2024-01-02,store_3,product_1,13,19.0,0.0,0.0,1,1
2024-01-02,store_3,product_2,9,19.0,0.0,0.0,1,1
2024-01-02,store_3,product_3,47,19.0,0.0,0.0,1,1
2024-01-02,store_3,product_4,36,19.0,0.0,0.0,1,1
2024-01-02,store_3,product_5,61,19.0,0.0,0.0,1,1
2024-01-02,store_3,product_6,7,19.0,0.0,0.0,1,1
2024-01-02,store_4,product_1,40,19.0,0.0,0.0,1,1
2024-01-02,store_4,product_2,18,19.0,0.0,0.0,1,1
2024-01-02,store_4,product_3,9,19.0,0.0,0.0,1,1
2024-01-02,store_4,product_4,8,19.0,0.0,0.0,1,1
2024-01-02,store_4,product_5,7,19.0,0.0,0.0,1,1
2024-01-02,store_4,product_6,27,19.0,0.0,0.0,1,1
2024-01-02,store_5,product_1,11,19.0,0.0,0.0,1,1
2024-01-02,store_5,product_2,40,19.0,0.0,0.0,1,1
2024-01-02,store_5,product_3,30,19.0,0.0,0.0,1,1
2024-01-02,store_5,product_4,34,19.0,0.0,0.0,1,1
2024-01-02,store_5,product_5,8,19.0,0.0,0.0,1,1
2024-01-02,store_5,product_6,47,19.0,0.0,0.0,1,1
2024-01-03,store_1,product_1,40,24.5,0.0,0.0,2,1
2024-01-03,store_1,product_2,19,24.5,0.0,0.0,2,1
2024-01-03,store_1,product_3,50,24.5,0.0,0.0,2,1
2024-01-03,store_1,product_4,21,24.5,0.0,0.0,2,1
2024-01-03,store_1,product_5,38,24.5,0.0,0.0,2,1
2024-01-03,store_1,product_6,25,24.5,0.0,0.0,2,1
2024-01-03,store_2,product_1,7,24.5,0.0,0.0,2,1
2024-01-03,store_2,product_2,46,24.5,0.0,0.0,2,1
2024-01-03,store_2,product_3,40,24.5,0.0,0.0,2,1
2024-01-03,store_2,product_4,12,24.5,0.0,0.0,2,1
2024-01-03,store_2,product_5,40,24.5,0.0,0.0,2,1
2024-01-03,store_2,product_6,29,24.5,0.0,0.0,2,1
2024-01-03,store_3,product_1,54,24.5,0.0,0.0,2,1
2024-01-03,store_3,product_2,2,24.5,0.0,0.0,2,1
2024-01-03,store_3,product_3,26,24.5,0.0,0.0,2,1
2024-01-03,store_3,product_4,42,24.5,0.0,0.0,2,1
2024-01-03,store_3,product_5,13,24.5,0.0,0.0,2,1
2024-01-03,store_3,product_6,35,24.5,0.0,0.0,2,1
2024-01-03,store_4,product_1,20,24.5,0.0,0.0,2,1
2024-01-03,store_4,product_2,32,24.5,0.0,0.0,2,1
2024-01-03,store_4,product_3,8,24.5,0.0,0.0,2,1
2024-01-03,store_4,product_4,41,24.5,0.0,0.0,2,1
2024-01-03,store_4,product_5,18,24.5,0.0,0.0,2,1
2024-01-03,store_4,product_6,43,24.5,0.0,0.0,2,1
